PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-10-05,12:01:30.15,1,1,"Jezerinac, Pete",10002246,Left,KEN_OWL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,Bunt,FieldersChoice,0,0,,87.3236,-0.951154,3.319207,2025.904501,123.459063,10:00,5.7093,-2.32224,5.44518,-22.75092,14.96678,-20.62422,2.92127,-0.92975,78.93572,-5.216834,-0.346511,0.442022,27.61325,15.064151,7.956142,1012.498451,,,,34.56046,34.56046,9.522365,0.879546,11.42028,8.21178,2.04353,50,5.60988,-6.42911,-126.46459,-2.85758,18.29782,28.35739,-19.01699,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20241005-KennesawWalterKelly-Private-2,16117bb0-8333-11ef-b4a2-cf5b601c968a,85.27273,4.64018,,8.38789,,,,1.28315,2.9018,0.9246,cb6ba02c-5dd7-44a5-9bb7-5385792e0abc,2024-10-05,16:01:30.15,2024-10-05T12:01:30.1582248-04:00,2024-10-05T16:01:30.1582248Z,GroundBall,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,fcc83e77-6efb-4e55-9784-7125d2425219,55.05307,-127.59262,14.17869,5.70851,-2.10111,-9.50849,2.31375,-7.15699,9.14891,211.126825,1.28315,38.73077,-1.8645,0.25556,0.32725,-0.97317,1.11416,-0.57038,0.10517,2.9018,10.52591,-16.0708,0.44582,-0.13384,0.15332,-0.0408,-0.06289,0.0358,0.9246,5.41314,0.05654,-0.0006,-0.06685,0.14001,-0.15816,0.08135,-0.01481,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2024-10-05,12:02:05.39,2,1,"Jezerinac, Pete",10002246,Left,KEN_OWL,"Tate, Landon",10035577,Right,KEN_OWL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.07954,-2.121511,4.205473,2063.640209,120.242229,10:00,5.75535,-2.30247,5.53161,-23.68891,14.23028,-22.06785,1.7919,-0.20324,78.78447,-6.551737,0.280772,0.443201,,,,,,,,,,,,12.36127,8.22752,1.95151,50,5.55512,-8.2845,-125.92329,-5.45831,19.64439,28.01805,-19.09894,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20241005-KennesawWalterKelly-Private-2,2b103d30-8333-11ef-b4a2-cf5b601c968a,85.0459,,,8.29507,,,,,,,cb6ba02c-5dd7-44a5-9bb7-5385792e0abc,2024-10-05,16:02:05.39,2024-10-05T12:02:05.3908392-04:00,2024-10-05T16:02:05.3908392Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,199faf38-73dc-43b7-b7f4-73be79d12114,54.96576,-127.02337,14.00903,5.7547,-4.70842,-9.54947,2.29193,-9.05581,9.8222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-10-05,12:02:24.06,2,2,"Jezerinac, Pete",10002246,Left,KEN_OWL,"Tate, Landon",10035577,Right,KEN_OWL,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.36509,-0.467416,3.48923,1644.132345,112.63703,9:45,5.56144,-2.53823,5.53173,-33.57014,10.57713,-21.80312,2.32619,-1.08951,73.22593,-6.676859,-0.393189,0.478215,,,,,,,,,,,,11.94737,5.93118,2.2495,50,5.4987,-6.21367,-116.45612,-2.03881,16.3326,22.7994,-24.06587,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20241005-KennesawWalterKelly-Private-2,36337f10-8333-11ef-b4a2-cf5b601c968a,78.81898,,,7.13916,,,,,,,cb6ba02c-5dd7-44a5-9bb7-5385792e0abc,2024-10-05,16:02:24.06,2024-10-05T12:02:24.0606120-04:00,2024-10-05T16:02:24.0606120Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,92a40ead-22db-4b57-ba8b-439eb553d25d,54.96631,-117.42438,11.3997,5.56358,-1.01676,-12.03294,2.52812,-6.9073,8.1663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-10-05,12:02:44.87,2,3,"Jezerinac, Pete",10002246,Left,KEN_OWL,"Tate, Landon",10035577,Right,KEN_OWL,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.09562,-1.56539,4.791368,1775.757875,100.692167,9:15,5.52661,-2.69328,5.3791,-37.48537,5.54004,-21.08383,0.92988,0.0518,74.42214,-8.437129,1.052435,0.4721,,,,,,,,,,,,12.07327,3.73177,2.27893,50,5.35976,-9.06162,-118.62795,-4.55241,16.99165,25.31228,-26.92203,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20241005-KennesawWalterKelly-Private-2,429d4ab0-8333-11ef-b4a2-cf5b601c968a,79.83995,,,7.67349,,,,,,,cb6ba02c-5dd7-44a5-9bb7-5385792e0abc,2024-10-05,16:02:44.87,2024-10-05T12:02:44.8741800-04:00,2024-10-05T16:02:44.8741800Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,5ca43229-3fe6-45c9-9b43-6fbe31086393,55.11927,-119.71529,12.65614,5.53048,-3.39593,-13.46101,2.68387,-9.79153,8.49582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-10-05,12:03:05.33,2,4,"Jezerinac, Pete",10002246,Left,KEN_OWL,"Tate, Landon",10035577,Right,KEN_OWL,Undefined,1,Top,0,1,2,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,89.04037,-0.835581,3.600521,2096.929863,121.978446,10:00,5.83477,-2.54156,5.53591,-23.19257,13.08335,-18.84749,3.11945,-0.74236,80.24297,-5.184792,0.246705,0.433492,92.50686,21.98466,18.312288,3992.750784,100.81444,38.61504,44.00337,309.96103,305.2878,31.86642,3.637992,10.66197,7.24646,2.24177,50,5.74707,-7.2711,-128.88918,-2.66751,17.69088,30.19762,-20.15036,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20241005-KennesawWalterKelly-Private-2,4ec97110-8333-11ef-b4a2-cf5b601c968a,86.95078,45.69085,,8.7974,,,,0.75501,3.06848,0.71384,cb6ba02c-5dd7-44a5-9bb7-5385792e0abc,2024-10-05,16:03:05.33,2024-10-05T12:03:05.3327272-04:00,2024-10-05T16:03:05.3327272Z,LineDrive,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,4c2ddc4c-0a47-4fbf-a753-36f032d60b26,54.96167,-130.04646,15.09881,5.8345,-1.89527,-10.07518,2.53341,-7.94907,8.84544,230.68527,0.75477,119.44866,-24.99688,6.04787,-1.30998,0.24927,-0.03955,0.00419,-0.00018,3.06862,50.78451,-15.61481,0.05477,0.20524,-0.04277,-0.00245,0.00287,-0.00036,0.71394,39.52253,5.26024,-2.45668,0.75797,-0.17663,0.03049,-0.00333,0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2024-10-05,12:03:47.04,3,1,"Jezerinac, Pete",10002246,Left,KEN_OWL,"Bradfield, Jackson",10089449,Right,KEN_OWL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.2646,0.039251,4.761373,1696.87576,114.495383,9:45,5.51446,-2.54347,5.30528,-32.24077,10.38934,-19.62407,2.8647,0.3011,74.74482,-5.90601,1.291859,0.469926,99.52735,28.603619,-42.815386,3593.0377,76.84654,53.83276,-78.70503,,227.8146,,,11.29115,5.59315,2.12544,50,5.49481,-9.10131,-118.99854,-1.01336,16.10843,23.91635,-24.19464,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20241005-KennesawWalterKelly-Private-2,67ab1210-8333-11ef-b4a2-cf5b601c968a,80.20932,72.67028,,7.51978,,,,2.46878,3.11847,-0.31717,cb6ba02c-5dd7-44a5-9bb7-5385792e0abc,2024-10-05,16:03:47.04,2024-10-05T12:03:47.0444968-04:00,2024-10-05T16:03:47.0444968Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,4813534e-47e3-4aae-83f7-17e078f68ab7,55.19441,-120.03797,11.95817,5.516,0.03817,-12.09732,2.5362,-9.8014,8.05422,,2.46879,94.00927,-24.6982,7.16739,-1.84716,0.40065,-0.07265,0.00896,-0.00052,3.11847,69.88443,-20.27624,1.53879,-0.08633,-0.02831,0.01228,-0.00175,9E-05,-0.31717,-87.10096,8.46335,-0.22845,-0.34592,0.16041,-0.04243,0.00682,-0.00051,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2024-10-05,12:04:10.97,3,2,"Jezerinac, Pete",10002246,Left,KEN_OWL,"Bradfield, Jackson",10089449,Right,KEN_OWL,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.73775,-0.890112,1.356315,1642.493222,115.435937,9:45,5.42253,-2.71055,5.34851,-32.31706,10.06213,-17.8493,1.89425,-2.92558,74.58429,-6.871614,-1.817927,0.468541,,,,,,,,,,,,9.30434,5.8141,2.60126,50,5.31989,-2.06217,-119.83296,-2.96485,13.29049,26.96999,-23.86909,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20241005-KennesawWalterKelly-Private-2,75eb4b60-8333-11ef-b4a2-cf5b601c968a,80.44637,,,8.15346,,,,,,,cb6ba02c-5dd7-44a5-9bb7-5385792e0abc,2024-10-05,16:04:10.97,2024-10-05T12:04:10.9730216-04:00,2024-10-05T16:04:10.9730216Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,4091503d-5222-43ac-9b3a-d73ef7fb6f22,55.14625,-120.98564,13.485,5.4248,-1.94469,-11.93455,2.70153,-2.6302,6.64524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-10-05,12:04:34.26,3,3,"Jezerinac, Pete",10002246,Left,KEN_OWL,"Bradfield, Jackson",10089449,Right,KEN_OWL,Undefined,1,Top,1,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.1998,-1.279119,4.048138,1982.512072,123.610394,10:00,5.75937,-2.31946,5.54361,-23.93982,12.21792,-16.41458,2.56579,0.10219,80.49086,-5.753902,1.128962,0.432785,,,,,,,,,,,,9.31245,6.94768,1.97808,50,5.63282,-8.34103,-128.96051,-3.70852,15.51359,29.51586,-20.59991,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20241005-KennesawWalterKelly-Private-2,83c9dcb0-8333-11ef-b4a2-cf5b601c968a,87.09281,,,8.70895,,,,,,,cb6ba02c-5dd7-44a5-9bb7-5385792e0abc,2024-10-05,16:04:34.26,2024-10-05T12:04:34.2620072-04:00,2024-10-05T16:04:34.2620072Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,dc3e0485-c9d3-411d-b830-e9921769419d,54.94842,-130.08815,14.75793,5.75947,-2.92151,-10.29996,2.30807,-8.93372,7.75679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-10-05,12:04:56.99,,,"Jezerinac, Pete",10002246,Left,KEN_OWL,"Bradfield, Jackson",10089449,Right,KEN_OWL,Undefined,1,Top,1,1,2,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,83.74822,-2.745291,3.429632,1793.980342,111.669856,9:45,5.56449,-2.46089,5.43621,-32.66407,8.92689,-18.37623,0.26512,-0.77678,75.32761,-8.773919,0.159368,0.464164,,,,,,,,,,,,10.46103,5.88996,2.17033,50,5.29875,-6.4776,-120.9986,-6.92383,15.15525,28.62493,-23.64109,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20241005-KennesawWalterKelly-Private-2,91543380-8333-11ef-b4a2-cf5b601c968a,81.20508,,,8.42061,,,,,,,cb6ba02c-5dd7-44a5-9bb7-5385792e0abc,2024-10-05,16:04:56.99,2024-10-05T12:04:56.9979816-04:00,2024-10-05T16:04:56.9979816Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,8af3aad1-c2db-44e0-818e-4f47e755ee02,55.06079,-122.18998,14.31246,5.56645,-5.93988,-11.82054,2.45305,-7.10836,7.57762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-10-05,12:05:21.74,3,5,"Jezerinac, Pete",10002246,Left,KEN_OWL,"Bradfield, Jackson",10089449,Right,KEN_OWL,Undefined,1,Top,1,2,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.24346,-2.205045,3.405885,1973.774385,120.466713,10:00,5.80828,-2.37341,5.36715,-24.43966,11.23709,-16.84064,1.69943,-0.57954,81.28443,-6.748767,0.416139,0.429896,80.10452,64.37777,61.207575,4819.74342,,,,,65.35647,,,9.57902,6.73658,2.08007,50,5.59312,-6.99481,-130.49509,-5.91073,16.2447,31.69456,-20.74976,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20241005-KennesawWalterKelly-Private-2,a016e340-8333-11ef-b4a2-cf5b601c968a,87.67795,105.57621,,8.95903,,,,1.76479,1.74052,0.58213,cb6ba02c-5dd7-44a5-9bb7-5385792e0abc,2024-10-05,16:05:21.74,2024-10-05T12:05:21.7467816-04:00,2024-10-05T16:05:21.7467816Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,f2982681-43b3-4a6e-9630-3b5e66679a9b,55.1301,-131.73519,15.84728,5.80851,-5.09886,-10.37488,2.36618,-7.63041,8.12235,,1.76477,24.47275,-11.378,3.37994,-1.82515,1.83244,-1.30436,0.49206,-0.07563,1.74052,105.93366,-28.51879,3.73397,-0.87955,0.26541,-0.10053,0.02797,-0.00357,0.58213,44.52249,-2.16978,-0.33774,0.80421,-1.08093,0.80976,-0.31099,0.04822,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
