PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
202,4/30/2024,54:45.5,1,3,"Renfroe, Ryan",1000193590,Right,KEN_OWL,"Gonzalez, Fernando",692232,Right,GEO_BUL,Undefined,6,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.68641,-2.739852,-0.83134,2279.187117,198.277787,12:30,6.67472,0.80103,4.76486,-14.96867,21.38332,6.66524,2.82732,0.56819,81.81199,-5.553114,0.340176,0.433946,,,,,,,,,,,,-3.49855,11.61351,-0.7239,50,6.38781,1.56075,-129.88929,-6.71679,-5.97317,27.36389,-12.34604,KEN_OWL,GEO_BUL,KennesawState,D1,ASUN,20240430-KennesawState-1,05a21800-074d-11ef-ba10-df26ec8de34f,86.85979,,,7.87442,,,,,,,4076a9f8-8b2a-48e7-a118-1a7cbeb7e85d,4/30/2024,54:45.5,2024-04-30T19:54:45.4564962-04:00,2024-04-30T23:54:45.4564962Z,,v3,471506,226,30 April 2024 18:00-georgia@kennesawst,"Hassan, Nick",1000079009,Right,KEN_OWL,8214b54c-fa4f-45d3-b435-a03a59ed83d6,55.73115,-131.09112,13.68195,6.6709,-6.17455,-6.17302,-0.79821,1.8231,-2.98659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
208,4/30/2024,57:00.5,2,4,"Renfroe, Ryan",1000193590,Right,KEN_OWL,"Collins, Corey",690970,Left,GEO_BUL,Undefined,6,Top,1,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.50906,-2.317944,-1.372359,2333.298155,196.431,12:30,6.64731,0.61289,4.98917,-16.24477,18.80607,5.23717,3.1031,-0.24674,83.33368,-5.343459,-0.448203,0.426109,103.70435,22.252548,41.593283,2680.993093,77.92747,35.82604,77.63574,314.53939,162.17587,53.421982,3.045653,-2.97012,10.26103,-0.48529,50,6.41138,2.9037,-131.31953,-5.88997,-5.22945,25.65032,-14.10759,KEN_OWL,GEO_BUL,KennesawState,D1,ASUN,20240430-KennesawState-1,561f41e0-074d-11ef-ba10-df26ec8de34f,88.45727,41.33223,,7.17538,,,,2.44794,3.38416,0.14577,4076a9f8-8b2a-48e7-a118-1a7cbeb7e85d,4/30/2024,57:00.5,2024-04-30T19:57:00.5282402-04:00,2024-04-30T23:57:00.5282402Z,FlyBall,v3,471506,226,30 April 2024 18:00-georgia@kennesawst,"Hassan, Nick",1000079009,Right,KEN_OWL,405f89fd-9356-4d1a-8a3b-c2862020f887,55.51006,-132.39142,12.82516,6.6452,-5.30043,-7.05379,-0.6112,3.12223,-2.61472,,2.44834,105.26382,-23.01912,4.57842,-0.82005,0.06422,0.01432,-0.00558,0.0006,3.38416,57.59848,-25.31254,3.34392,-0.8027,0.21173,-0.05244,0.00926,-0.00075,0.14559,93.45767,-2.71682,-0.51963,0.18488,-0.07781,0.03332,-0.00846,0.00083,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
203,4/30/2024,55:05.2,1,4,"Renfroe, Ryan",1000193590,Right,KEN_OWL,"Gonzalez, Fernando",692232,Right,GEO_BUL,Undefined,6,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.04687,-1.60439,-2.893147,2285.124735,200.936201,12:45,6.63623,0.81703,5.22626,-15.12521,20.17391,7.29532,3.86521,-1.29714,82.41651,-4.462438,-1.602492,0.427615,,,,,,,,,,,,-4.39626,10.8176,-0.55582,50,6.47729,6.2557,-130.51599,-4.13753,-7.61474,26.39911,-13.43701,KEN_OWL,GEO_BUL,KennesawState,D1,ASUN,20240430-KennesawState-1,11743780-074d-11ef-ba10-df26ec8de34f,88.14566,,,7.63036,,,,,,,4076a9f8-8b2a-48e7-a118-1a7cbeb7e85d,4/30/2024,55:05.2,2024-04-30T19:55:05.2482146-04:00,2024-04-30T23:55:05.2482146Z,,v3,471506,226,30 April 2024 18:00-georgia@kennesawst,"Hassan, Nick",1000079009,Right,KEN_OWL,89028b07-0492-4379-960d-fc6d02fa932a,55.27014,-131.57765,13.19956,6.63281,-3.59715,-6.7185,-0.81356,6.56193,-3.80737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
200,4/30/2024,53:59.5,1,1,"Renfroe, Ryan",1000193590,Right,KEN_OWL,"Gonzalez, Fernando",692232,Right,GEO_BUL,Undefined,6,Top,0,0,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.0948,-1.170518,-0.861965,2198.284669,163.362591,11:30,6.63297,0.93107,4.63294,-34.61352,6.99095,-1.6774,2.63572,-0.02802,76.825,-7.433192,-1.156443,0.464239,,,,,,,,,,,,0.57681,4.12937,-0.84106,50,6.48152,1.90909,-121.86958,-3.83415,0.86336,25.01401,-25.99328,KEN_OWL,GEO_BUL,KennesawState,D1,ASUN,20240430-KennesawState-1,ea439020-074c-11ef-ba10-df26ec8de34f,81.1919,,,7.26981,,,,,,,4076a9f8-8b2a-48e7-a118-1a7cbeb7e85d,4/30/2024,53:59.6,2024-04-30T19:53:59.5529314-04:00,2024-04-30T23:53:59.5529314Z,,v3,471506,226,30 April 2024 18:00-georgia@kennesawst,"Hassan, Nick",1000079009,Right,KEN_OWL,748fa29f-9764-4321-b238-0a7862be5197,55.865,-123.0675,12.507,6.63533,-2.58934,-12.99664,-0.93149,1.86774,0.43168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
211,4/30/2024,58:48.3,2,7,"Renfroe, Ryan",1000193590,Right,KEN_OWL,"Collins, Corey",690970,Left,GEO_BUL,Undefined,6,Top,1,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,91.45668,-1.890989,0.530408,2279.751982,197.474125,12:30,6.62254,0.30472,4.9146,-16.77391,17.87879,5.27988,3.43601,1.24624,83.59407,-5.019478,1.461033,0.423682,,,,,,,,,,,,-2.45248,9.66894,-0.36108,50,6.4246,-1.48581,-132.596,-4.97441,-4.37174,28.01479,-14.93832,KEN_OWL,GEO_BUL,KennesawState,D1,ASUN,20240430-KennesawState-1,965083f0-074d-11ef-ba10-df26ec8de34f,88.964,,,7.86261,,,,,,,4076a9f8-8b2a-48e7-a118-1a7cbeb7e85d,4/30/2024,58:48.3,2024-04-30T19:58:48.2646626-04:00,2024-04-30T23:58:48.2646626Z,,v3,471506,226,30 April 2024 18:00-georgia@kennesawst,"Hassan, Nick",1000079009,Right,KEN_OWL,7aa841c1-3d1e-4011-b6fb-72206881fbf9,55.58141,-133.77003,14.0074,6.61995,-4.34837,-7.46916,-0.30265,-1.3026,-2.18587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
206,4/30/2024,56:18.7,2,2,"Renfroe, Ryan",1000193590,Right,KEN_OWL,"Collins, Corey",690970,Left,GEO_BUL,Undefined,6,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.94267,-0.714397,-1.493707,2277.401782,76.451118,8:30,6.6083,0.71207,4.30738,-41.57479,0.24575,-4.08055,2.46042,-1.05647,77.61603,-8.118075,-2.205868,0.465443,,,,,,,,,,,,1.61811,0.56055,-0.54596,50,6.48842,3.36073,-121.77356,-3.23203,2.44435,22.56161,-31.32723,KEN_OWL,GEO_BUL,KennesawState,D1,ASUN,20240430-KennesawState-1,3d3340a0-074d-11ef-ba10-df26ec8de34f,80.98191,,,6.32664,,,,,,,4076a9f8-8b2a-48e7-a118-1a7cbeb7e85d,4/30/2024,56:18.7,2024-04-30T19:56:18.6756194-04:00,2024-04-30T23:56:18.6756194Z,,v3,471506,226,30 April 2024 18:00-georgia@kennesawst,"Hassan, Nick",1000079009,Right,KEN_OWL,c842041d-6683-422c-9c1f-0bd99a231928,56.19355,-122.91571,11.28081,6.6119,-1.64613,-15.66362,-0.71297,3.23699,1.22217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
170,4/30/2024,35:56.0,2,1,"Renfroe, Ryan",1000193590,Right,KEN_OWL,"Toetz, Paul",802119,Right,GEO_BUL,Undefined,5,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.99036,-1.874573,-0.838957,2288.691189,205.879253,12:45,6.60417,0.80617,5.24479,-20.20781,15.15895,6.8043,3.15772,0.58472,82.28819,-5.631802,0.368147,0.428025,,,,,,,,,,,,-3.62465,8.43426,-0.73435,50,6.41733,1.59618,-130.52768,-4.98316,-6.25578,27.37265,-17.61738,KEN_OWL,GEO_BUL,KennesawState,D1,ASUN,20240430-KennesawState-1,64749130-074a-11ef-ba10-df26ec8de34f,88.06134,,,7.70217,,,,,,,4076a9f8-8b2a-48e7-a118-1a7cbeb7e85d,4/30/2024,35:56.0,2024-04-30T19:35:56.0381026-04:00,2024-04-30T23:35:56.0381026Z,,v3,471506,226,30 April 2024 18:00-georgia@kennesawst,"Hassan, Nick",1000079009,Right,KEN_OWL,6871fad9-1734-4544-8a92-596e055ae350,55.25158,-131.62437,13.68633,6.60284,-4.27732,-8.80869,-0.80332,1.84682,-3.12789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
181,4/30/2024,40:48.3,4,3,"Renfroe, Ryan",1000193590,Right,KEN_OWL,"Chadwick, Clayton",699821,Left,GEO_BUL,Undefined,5,Top,2,2,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.92815,-1.375753,-0.895283,2185.309048,133.335526,10:30,6.59799,0.78907,4.73915,-36.26718,3.90717,-2.89126,2.2703,-0.30119,78.54618,-7.899456,-1.40405,0.45619,,,,,,,,,,,,1.20256,2.59284,-0.69622,50,6.42724,2.05523,-123.26335,-4.3886,1.8633,22.87674,-28.15664,KEN_OWL,GEO_BUL,KennesawState,D1,ASUN,20240430-KennesawState-1,12a0e290-074b-11ef-ba10-df26ec8de34f,82.62444,,,6.38197,,,,,,,4076a9f8-8b2a-48e7-a118-1a7cbeb7e85d,4/30/2024,40:48.2,2024-04-30T19:40:48.2587234-04:00,2024-04-30T23:40:48.2587234Z,,v3,471506,226,30 April 2024 18:00-georgia@kennesawst,"Hassan, Nick",1000079009,Right,KEN_OWL,31f48ce0-22e0-4dfc-995f-02a410fdd73b,55.76044,-124.32785,11.43837,6.60096,-3.07842,-14.07832,-0.78984,1.96853,0.93165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
201,4/30/2024,54:27.0,1,2,"Renfroe, Ryan",1000193590,Right,KEN_OWL,"Gonzalez, Fernando",692232,Right,GEO_BUL,Undefined,6,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.84872,-1.10809,-0.714749,2275.263433,196.136051,12:30,6.59323,0.85246,4.51747,-15.68706,19.96474,5.44394,4.23035,0.62532,82.83804,-4.039679,0.237711,0.429746,,,,,,,,,,,,-2.83158,10.33847,-0.78322,50,6.46357,1.3655,-131.657,-3.11105,-4.97463,27.70806,-14.0111,KEN_OWL,GEO_BUL,KennesawState,D1,ASUN,20240430-KennesawState-1,fa9ce570-074c-11ef-ba10-df26ec8de34f,87.7086,,,8.01068,,,,,,,4076a9f8-8b2a-48e7-a118-1a7cbeb7e85d,4/30/2024,54:27.0,2024-04-30T19:54:26.9661794-04:00,2024-04-30T23:54:26.9661794Z,,v3,471506,226,30 April 2024 18:00-georgia@kennesawst,"Hassan, Nick",1000079009,Right,KEN_OWL,5d2a6b21-f1ff-4095-a07f-611a673c6e6e,55.97786,-132.90913,13.85403,6.58985,-2.47789,-7.00555,-0.85,1.5903,-2.48731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
209,4/30/2024,57:24.5,2,5,"Renfroe, Ryan",1000193590,Right,KEN_OWL,"Collins, Corey",690970,Left,GEO_BUL,Undefined,6,Top,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.14706,-2.430272,-1.837691,2309.153452,85.088287,8:45,6.59251,0.64258,4.71808,-38.10207,1.03894,-1.1687,1.10856,-1.19929,79.91248,-9.238586,-2.043331,0.450285,,,,,,,,,,,,0.10563,1.45795,-0.45578,50,6.31258,4.06102,-124.91103,-6.84875,0.16816,23.38344,-29.85318,KEN_OWL,GEO_BUL,KennesawState,D1,ASUN,20240430-KennesawState-1,64759b40-074d-11ef-ba10-df26ec8de34f,83.70798,,,6.23458,,,,,,,4076a9f8-8b2a-48e7-a118-1a7cbeb7e85d,4/30/2024,57:24.5,2024-04-30T19:57:24.5497442-04:00,2024-04-30T23:57:24.5497442Z,,v3,471506,226,30 April 2024 18:00-georgia@kennesawst,"Hassan, Nick",1000079009,Right,KEN_OWL,56075757-4460-4b97-a8ab-ea0d4a09e337,55.78138,-125.98866,11.69172,6.5965,-5.47296,-14.92659,-0.64275,4.05327,0.08408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
